""   ,Date      ,symbol,value      ,change              ,type
75   ,2007-01-24,GSPC  ,1440.130005,-1.1269802687015    ,price
76   ,2007-01-25,MSFT  ,24.423944  ,0.492610857607606   ,price
77   ,2007-01-25,IBM   ,80.716633  ,-0.061537502437699  ,price
78   ,2007-01-25,SBUX  ,15.563239  ,-0.264944848562689  ,price
79   ,2007-01-25,AAPL  ,11.410743  ,-1.00869855714041   ,price
80   ,2007-01-25,GSPC  ,1423.900024,-0.120792890723352  ,price
81   ,2007-01-26,MSFT  ,24.544259  ,-0.228758179254869  ,price
82   ,2007-01-26,IBM   ,80.666962  ,1.11852607018968    ,price
83   ,2007-01-26,SBUX  ,15.522005  ,2.00708606909997    ,price
84   ,2007-01-26,AAPL  ,11.295643  ,0.655890063097784   ,price
85   ,2007-01-26,GSPC  ,1422.180054,-0.109694900839884  ,price
86   ,2007-01-29,MSFT  ,24.488112  ,-0.163777428002622  ,price
87   ,2007-01-29,IBM   ,81.569243  ,0.842299100409692   ,price
88   ,2007-01-29,SBUX  ,15.833545  ,0                   ,price
89   ,2007-01-29,AAPL  ,11.36973   ,-0.45380145350857   ,price
90   ,2007-01-29,GSPC  ,1420.619995,0.577209319090293   ,price
91   ,2007-01-30,MSFT  ,24.448006  ,1.24672335240755    ,price
92   ,2007-01-30,IBM   ,82.2563    ,-0.221395807980652  ,price
93   ,2007-01-30,SBUX  ,15.833545  ,1.09953266940535    ,price
94   ,2007-01-30,AAPL  ,11.318134  ,0.210405708220099   ,price
95   ,2007-01-30,GSPC  ,1428.819946,0.659288388741457   ,price
96   ,2007-01-31,MSFT  ,24.752805  ,-0.972136289200343  ,price
97   ,2007-01-31,IBM   ,82.074188  ,-0.151287515631603  ,price
98   ,2007-01-31,SBUX  ,16.00764   ,-1.51688818589122   ,price
99   ,2007-01-31,AAPL  ,11.341948  ,-1.15479280984184   ,price
100  ,2007-01-31,GSPC  ,1438.23999 ,0.535373168145607   ,price
101  ,2007-02-01,MSFT  ,24.512174  ,-1.21072900347395   ,price
102  ,2007-02-01,IBM   ,81.95002   ,0.171715638385444   ,price
103  ,2007-02-01,SBUX  ,15.764822  ,-0.406855212193326  ,price
104  ,2007-02-01,AAPL  ,11.210972  ,0.0118009392941067  ,price
105  ,2007-02-01,GSPC  ,1445.939941,0.169445073790922   ,price
106  ,2007-02-02,MSFT  ,24.215398  ,-1.92116602832627   ,price
107  ,2007-02-02,IBM   ,82.090741  ,1.22012664010429    ,price
108  ,2007-02-02,SBUX  ,15.700682  ,-0.729496973443581  ,price
109  ,2007-02-02,AAPL  ,11.212295  ,-0.955754374996367  ,price
110  ,2007-02-02,GSPC  ,1448.390015,-0.0966607740664323 ,price
111  ,2007-02-05,MSFT  ,23.75018   ,-0.337723756198905  ,price
112  ,2007-02-05,IBM   ,83.092352  ,-0.527993238174313  ,price
113  ,2007-02-05,SBUX  ,15.586146  ,-1.02881751524719   ,price
114  ,2007-02-05,AAPL  ,11.105133  ,0.250181605209046   ,price
115  ,2007-02-05,GSPC  ,1446.98999 ,0.0698007592989614  ,price
116  ,2007-02-06,MSFT  ,23.66997   ,-0.47441547243194   ,price
117  ,2007-02-06,IBM   ,82.65363   ,-0.0100406963372426 ,price
118  ,2007-02-06,SBUX  ,15.425793  ,0                   ,price
119  ,2007-02-06,AAPL  ,11.132916  ,2.3767088514815     ,price
120  ,2007-02-06,GSPC  ,1448       ,0.139504143646404   ,price
121  ,2007-02-07,MSFT  ,23.557676  ,-0.374531851104499  ,price
122  ,2007-02-07,IBM   ,82.645331  ,0.0803711464353629  ,price
123  ,2007-02-07,SBUX  ,15.425793  ,-0.742496674239056  ,price
124  ,2007-02-07,AAPL  ,11.397513  ,0.0348321603142782  ,price
125  ,2007-02-07,GSPC  ,1450.02002 ,-0.117926716625611  ,price
126  ,2007-02-08,MSFT  ,23.469445  ,-0.956942100676014  ,price
127  ,2007-02-08,IBM   ,82.711754  ,-1.07408071650856   ,price
128  ,2007-02-08,SBUX  ,15.311257  ,-1.37641867026332   ,price
129  ,2007-02-08,AAPL  ,11.401483  ,-3.37665722959023   ,price
130  ,2007-02-08,GSPC  ,1448.310059,-0.707721384402813  ,price
131  ,2007-02-09,MSFT  ,23.244856  ,-0.138021934831517  ,price
132  ,2007-02-09,IBM   ,81.823363  ,0.0304399612614296  ,price
133  ,2007-02-09,SBUX  ,15.10051   ,-0.879857700170394  ,price
134  ,2007-02-09,AAPL  ,11.016494  ,1.93346449423928    ,price
135  ,2007-02-09,GSPC  ,1438.060059,-0.326138256232586  ,price
136  ,2007-02-12,MSFT  ,23.212773  ,0.589459949485569   ,price
137  ,2007-02-12,IBM   ,81.84827   ,-0.294178484163442  ,price
138  ,2007-02-12,SBUX  ,14.967647  ,-0.0306060130894318 ,price
139  ,2007-02-12,AAPL  ,11.229494  ,-0.212057640353168  ,price
140  ,2007-02-12,GSPC  ,1433.369995,0.75974905558142    ,price
141  ,2007-02-13,MSFT  ,23.349603  ,1.34436118678336    ,price
142  ,2007-02-13,IBM   ,81.60749   ,0.925828009169254   ,price
143  ,2007-02-13,SBUX  ,14.963066  ,2.08205992007254    ,price
144  ,2007-02-13,AAPL  ,11.205681  ,0.708381757431783   ,price
145  ,2007-02-13,GSPC  ,1444.26001 ,0.764407996036668   ,price
146  ,2007-02-14,MSFT  ,23.663506  ,0.204077958693019   ,price
147  ,2007-02-14,IBM   ,82.363035  ,-0.282256475857153  ,price
148  ,2007-02-14,SBUX  ,15.274606  ,-0.359924177422324  ,price
149  ,2007-02-14,AAPL  ,11.28506   ,-0.105511180268417  ,price
150  ,2007-02-14,GSPC  ,1455.300049,0.103759358837207   ,price
151  ,2007-02-15,MSFT  ,23.711798  ,-2.44399011833689   ,price
152  ,2007-02-15,IBM   ,82.13056   ,0.0707629413460632  ,price
153  ,2007-02-15,SBUX  ,15.219629  ,-0.632157327882299  ,price
154  ,2007-02-15,AAPL  ,11.273153  ,-0.445962189992453  ,price
155  ,2007-02-15,GSPC  ,1456.810059,-0.087178145987797  ,price
156  ,2007-02-16,MSFT  ,23.132284  ,0.313155415176471   ,price
157  ,2007-02-16,IBM   ,82.188678  ,0.363674179063941   ,price
158  ,2007-02-16,SBUX  ,15.123417  ,-0.575584208251345  ,price
159  ,2007-02-16,AAPL  ,11.222879  ,1.2613430118956     ,price
160  ,2007-02-16,GSPC  ,1455.540039,0.284431543555769   ,price
161  ,2007-02-20,MSFT  ,23.204724  ,1.80367583773029    ,price
162  ,2007-02-20,IBM   ,82.487577  ,-0.261703650235722  ,price
163  ,2007-02-20,SBUX  ,15.036369  ,-1.27969724605721   ,price
164  ,2007-02-20,AAPL  ,11.364438  ,3.84167699273823    ,price
165  ,2007-02-20,GSPC  ,1459.680054,-0.140445092359942  ,price
166  ,2007-02-21,MSFT  ,23.623262  ,0.136285158247824   ,price
167  ,2007-02-21,IBM   ,82.271704  ,-0.595413703841604  ,price
168  ,2007-02-21,SBUX  ,14.843949  ,1.88270654931514    ,price
169  ,2007-02-21,AAPL  ,11.801023  ,0.347537666861589   ,price
170  ,2007-02-21,GSPC  ,1457.630005,-0.0857556441423556 ,price
171  ,2007-02-22,MSFT  ,23.655457  ,-1.6672347526408    ,price
172  ,2007-02-22,IBM   ,81.781847  ,-0.781722379050698  ,price
173  ,2007-02-22,SBUX  ,15.123417  ,-0.787639460050597  ,price
174  ,2007-02-22,AAPL  ,11.842036  ,-0.491562430649594  ,price
